# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	gammaInt_solver	gammaInt_initial	gammaInt_final	gammaInt_iters	gammaInt_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	ReThetat_solver	ReThetat_initial	ReThetat_final	ReThetat_iters	ReThetat_converged
25            	DILUPBiCGStab	2.338210e-04	2.872580e-07	2	6.334700e-04	8.056660e-07	2	false	DILUPBiCGStab	1.656920e-04	7.035630e-07	1	true	GAMG	2.837420e-03	1.901460e-05	6	true	DILUPBiCGStab	1.267310e-04	2.021560e-07	2	true	DILUPBiCGStab	7.255250e-06	3.012020e-08	1	true	DILUPBiCGStab	5.932180e-03	4.712010e-07	1	true
26            	DILUPBiCGStab	2.358680e-04	2.867470e-07	2	6.317630e-04	7.894710e-07	2	false	DILUPBiCGStab	1.591770e-04	6.789390e-07	1	true	GAMG	2.395210e-03	1.797400e-05	6	true	DILUPBiCGStab	1.253110e-04	2.029170e-07	2	true	DILUPBiCGStab	7.020710e-06	2.852070e-08	1	true	DILUPBiCGStab	5.505850e-03	4.568620e-07	1	true
27            	DILUPBiCGStab	2.379930e-04	2.860070e-07	2	6.310770e-04	7.748490e-07	2	false	DILUPBiCGStab	1.534870e-04	6.567530e-07	1	true	GAMG	2.070070e-03	1.697800e-05	6	true	DILUPBiCGStab	1.239970e-04	2.037200e-07	2	true	DILUPBiCGStab	6.796290e-06	2.704950e-08	1	true	DILUPBiCGStab	5.123140e-03	4.437510e-07	1	true
28            	DILUPBiCGStab	2.401740e-04	2.850360e-07	2	6.313310e-04	7.621280e-07	2	false	DILUPBiCGStab	1.484130e-04	6.361000e-07	1	true	GAMG	1.829510e-03	1.629700e-05	6	true	DILUPBiCGStab	1.228290e-04	2.045490e-07	2	true	DILUPBiCGStab	6.582550e-06	2.563580e-08	1	true	DILUPBiCGStab	4.778390e-03	4.317470e-07	1	true
29            	DILUPBiCGStab	2.423810e-04	2.838810e-07	2	6.323520e-04	7.509690e-07	2	false	DILUPBiCGStab	1.435470e-04	6.161080e-07	1	true	GAMG	1.649660e-03	1.596050e-05	6	true	DILUPBiCGStab	1.218450e-04	2.051100e-07	2	true	DILUPBiCGStab	6.375620e-06	2.446250e-08	1	true	DILUPBiCGStab	4.466750e-03	4.206300e-07	1	true
30            	DILUPBiCGStab	2.446340e-04	2.826010e-07	2	6.341760e-04	7.416870e-07	2	false	DILUPBiCGStab	1.388760e-04	5.966060e-07	1	true	GAMG	1.517810e-03	9.527510e-06	7	true	DILUPBiCGStab	1.210120e-04	2.050660e-07	2	true	DILUPBiCGStab	6.187200e-06	2.338120e-08	1	true	DILUPBiCGStab	4.184130e-03	4.102640e-07	1	true
31            	DILUPBiCGStab	2.469290e-04	2.811950e-07	2	6.366890e-04	7.341330e-07	2	false	DILUPBiCGStab	1.344150e-04	5.778260e-07	1	true	GAMG	1.423570e-03	9.574760e-06	7	true	DILUPBiCGStab	1.203370e-04	2.043970e-07	2	true	DILUPBiCGStab	6.005500e-06	2.243160e-08	1	true	DILUPBiCGStab	3.927110e-03	4.005030e-07	1	true
32            	DILUPBiCGStab	2.492370e-04	2.797120e-07	2	6.398070e-04	7.282270e-07	2	false	DILUPBiCGStab	1.301310e-04	5.595990e-07	1	true	GAMG	1.358810e-03	9.660870e-06	7	true	DILUPBiCGStab	1.198230e-04	2.031820e-07	2	true	DILUPBiCGStab	5.833270e-06	2.150780e-08	1	true	DILUPBiCGStab	3.692710e-03	3.912580e-07	1	true
33            	DILUPBiCGStab	2.515230e-04	2.782480e-07	2	6.434420e-04	7.238240e-07	2	false	DILUPBiCGStab	1.259590e-04	5.423450e-07	1	true	GAMG	1.314080e-03	9.719190e-06	7	true	DILUPBiCGStab	1.193980e-04	2.015370e-07	2	true	DILUPBiCGStab	5.673530e-06	2.062520e-08	1	true	DILUPBiCGStab	3.478390e-03	3.824970e-07	1	true
34            	DILUPBiCGStab	2.537680e-04	2.767770e-07	2	6.475450e-04	7.204880e-07	2	false	DILUPBiCGStab	1.219210e-04	5.258440e-07	1	true	GAMG	1.288360e-03	9.722610e-06	7	true	DILUPBiCGStab	1.190670e-04	1.997910e-07	2	true	DILUPBiCGStab	5.521500e-06	1.982710e-08	1	true	DILUPBiCGStab	3.281970e-03	3.741750e-07	1	true
35            	DILUPBiCGStab	2.559670e-04	2.753060e-07	2	6.520630e-04	7.178780e-07	2	false	DILUPBiCGStab	1.181070e-04	5.100800e-07	1	true	GAMG	1.278730e-03	9.659330e-06	7	true	DILUPBiCGStab	1.188020e-04	1.977930e-07	2	true	DILUPBiCGStab	5.375260e-06	1.909110e-08	1	true	DILUPBiCGStab	3.101610e-03	3.662810e-07	1	true
36            	DILUPBiCGStab	2.581070e-04	2.738610e-07	2	6.569390e-04	7.157730e-07	2	false	DILUPBiCGStab	1.146120e-04	4.948690e-07	1	true	GAMG	1.277490e-03	9.528690e-06	7	true	DILUPBiCGStab	1.185810e-04	1.957020e-07	2	true	DILUPBiCGStab	5.239860e-06	1.842380e-08	1	true	DILUPBiCGStab	2.935560e-03	3.587930e-07	1	true
37            	DILUPBiCGStab	2.602040e-04	2.723830e-07	2	6.621500e-04	7.141530e-07	2	false	DILUPBiCGStab	1.113190e-04	4.805420e-07	1	true	GAMG	1.278470e-03	9.276030e-06	7	true	DILUPBiCGStab	1.184120e-04	1.933180e-07	2	true	DILUPBiCGStab	5.110610e-06	1.779000e-08	1	true	DILUPBiCGStab	2.782400e-03	3.516050e-07	1	true
38            	DILUPBiCGStab	2.622380e-04	2.709890e-07	2	6.676680e-04	7.128370e-07	2	false	DILUPBiCGStab	1.081780e-04	4.669070e-07	1	true	GAMG	1.288070e-03	8.965310e-06	7	true	DILUPBiCGStab	1.182980e-04	1.908080e-07	2	true	DILUPBiCGStab	4.985690e-06	1.719510e-08	1	true	DILUPBiCGStab	2.640890e-03	3.446800e-07	1	true
39            	DILUPBiCGStab	2.642050e-04	2.697350e-07	2	6.734510e-04	7.117760e-07	2	false	DILUPBiCGStab	1.051730e-04	4.537130e-07	1	true	GAMG	1.296750e-03	8.690400e-06	7	true	DILUPBiCGStab	1.182060e-04	1.879310e-07	2	true	DILUPBiCGStab	4.869610e-06	1.664240e-08	1	true	DILUPBiCGStab	2.509860e-03	3.379730e-07	1	true
40            	DILUPBiCGStab	2.660990e-04	2.685700e-07	2	6.794970e-04	7.108100e-07	2	false	DILUPBiCGStab	1.023370e-04	4.413950e-07	1	true	GAMG	1.307280e-03	8.444030e-06	7	true	DILUPBiCGStab	1.182570e-04	1.847700e-07	2	true	DILUPBiCGStab	4.756160e-06	1.610360e-08	1	true	DILUPBiCGStab	2.388300e-03	3.314210e-07	1	true
41            	DILUPBiCGStab	2.679890e-04	2.675060e-07	2	6.857810e-04	7.102000e-07	2	false	DILUPBiCGStab	9.965670e-05	4.298310e-07	1	true	GAMG	1.327570e-03	8.246640e-06	7	true	DILUPBiCGStab	1.184640e-04	1.815980e-07	2	true	DILUPBiCGStab	4.650940e-06	1.560620e-08	1	true	DILUPBiCGStab	2.275480e-03	3.250180e-07	1	true
42            	DILUPBiCGStab	2.698090e-04	2.665030e-07	2	6.922690e-04	7.098810e-07	2	false	DILUPBiCGStab	9.710680e-05	4.193530e-07	1	true	GAMG	1.332050e-03	8.073310e-06	7	true	DILUPBiCGStab	1.189300e-04	1.784960e-07	2	true	DILUPBiCGStab	4.550820e-06	1.513130e-08	1	true	DILUPBiCGStab	2.170620e-03	3.187530e-07	1	true
43            	DILUPBiCGStab	2.715070e-04	2.654780e-07	2	6.989680e-04	7.100780e-07	2	false	DILUPBiCGStab	9.469920e-05	4.096550e-07	1	true	GAMG	1.329660e-03	7.929700e-06	7	true	DILUPBiCGStab	1.197130e-04	1.756990e-07	2	true	DILUPBiCGStab	4.451850e-06	1.467880e-08	1	true	DILUPBiCGStab	2.073050e-03	3.126220e-07	1	true
44            	DILUPBiCGStab	2.730730e-04	2.644050e-07	2	7.058530e-04	7.111410e-07	2	false	DILUPBiCGStab	9.243990e-05	4.008860e-07	1	true	GAMG	1.353620e-03	7.837430e-06	7	true	DILUPBiCGStab	1.209280e-04	1.739190e-07	2	true	DILUPBiCGStab	4.360020e-06	1.426180e-08	1	true	DILUPBiCGStab	1.982100e-03	3.066520e-07	1	true
45            	DILUPBiCGStab	2.745230e-04	2.633310e-07	2	7.129280e-04	7.132090e-07	2	false	DILUPBiCGStab	9.032910e-05	3.930050e-07	1	true	GAMG	1.367850e-03	7.827740e-06	7	true	DILUPBiCGStab	1.226070e-04	1.734060e-07	2	true	DILUPBiCGStab	4.262720e-06	1.385050e-08	1	true	DILUPBiCGStab	1.897280e-03	3.008450e-07	1	true
46            	DILUPBiCGStab	2.758100e-04	2.622210e-07	2	7.201380e-04	7.160060e-07	2	false	DILUPBiCGStab	8.838020e-05	3.859120e-07	1	true	GAMG	1.382990e-03	7.889860e-06	7	true	DILUPBiCGStab	1.247320e-04	1.744000e-07	2	true	DILUPBiCGStab	4.173270e-06	1.346960e-08	1	true	DILUPBiCGStab	1.818100e-03	2.951660e-07	1	true
47            	DILUPBiCGStab	2.769260e-04	2.611240e-07	2	7.274580e-04	7.196050e-07	2	false	DILUPBiCGStab	8.655690e-05	3.796030e-07	1	true	GAMG	1.410810e-03	8.012640e-06	7	true	DILUPBiCGStab	1.272340e-04	1.761240e-07	2	true	DILUPBiCGStab	4.080860e-06	1.310000e-08	1	true	DILUPBiCGStab	1.744140e-03	2.896540e-07	1	true
48            	DILUPBiCGStab	2.778470e-04	2.598970e-07	2	7.348590e-04	7.237420e-07	2	false	DILUPBiCGStab	8.481640e-05	3.739170e-07	1	true	GAMG	1.438980e-03	8.187700e-06	7	true	DILUPBiCGStab	1.299860e-04	1.769300e-07	2	true	DILUPBiCGStab	3.989820e-06	1.275090e-08	1	true	DILUPBiCGStab	1.675060e-03	2.843410e-07	1	true
49            	DILUPBiCGStab	2.785900e-04	2.586690e-07	2	7.423420e-04	7.282690e-07	2	false	DILUPBiCGStab	8.316700e-05	3.687170e-07	1	true	GAMG	1.463330e-03	8.400270e-06	7	true	DILUPBiCGStab	1.331780e-04	1.284830e-06	1	true	DILUPBiCGStab	3.898470e-06	1.241050e-08	1	true	DILUPBiCGStab	1.610500e-03	2.791820e-07	1	true
50            	DILUPBiCGStab	2.791410e-04	2.574430e-07	2	7.498710e-04	7.329130e-07	2	false	DILUPBiCGStab	8.158640e-05	3.639200e-07	1	true	GAMG	1.483940e-03	1.467780e-05	6	true	DILUPBiCGStab	1.371330e-04	1.248340e-06	1	true	DILUPBiCGStab	3.807680e-06	1.208310e-08	1	true	DILUPBiCGStab	1.550120e-03	2.742090e-07	1	true
51            	DILUPBiCGStab	2.795110e-04	2.563650e-07	2	7.574390e-04	7.376890e-07	2	false	DILUPBiCGStab	8.010140e-05	3.594890e-07	1	true	GAMG	1.503660e-03	1.418620e-05	6	true	DILUPBiCGStab	1.421160e-04	1.222260e-06	1	true	DILUPBiCGStab	3.718630e-06	1.177400e-08	1	true	DILUPBiCGStab	1.493690e-03	2.693990e-07	1	true
52            	DILUPBiCGStab	2.796920e-04	2.554560e-07	2	7.650090e-04	7.422740e-07	2	false	DILUPBiCGStab	7.869380e-05	3.553290e-07	1	true	GAMG	1.519890e-03	1.370750e-05	6	true	DILUPBiCGStab	1.479030e-04	1.206300e-06	1	true	DILUPBiCGStab	3.630080e-06	1.147050e-08	1	true	DILUPBiCGStab	1.440870e-03	2.647670e-07	1	true
53            	DILUPBiCGStab	2.797410e-04	2.548160e-07	2	7.725740e-04	7.466250e-07	2	false	DILUPBiCGStab	7.734960e-05	3.515620e-07	1	true	GAMG	1.535800e-03	1.325540e-05	6	true	DILUPBiCGStab	1.540290e-04	1.198870e-06	1	true	DILUPBiCGStab	3.541740e-06	1.118410e-08	1	true	DILUPBiCGStab	1.391480e-03	2.603400e-07	1	true
54            	DILUPBiCGStab	2.796570e-04	2.544900e-07	2	7.801010e-04	7.507300e-07	2	false	DILUPBiCGStab	7.609630e-05	3.480550e-07	1	true	GAMG	1.569540e-03	1.284810e-05	6	true	DILUPBiCGStab	1.602540e-04	1.226030e-06	1	true	DILUPBiCGStab	3.456810e-06	1.090670e-08	1	true	DILUPBiCGStab	1.345330e-03	2.561400e-07	1	true
55            	DILUPBiCGStab	2.793520e-04	2.545480e-07	2	7.875750e-04	7.545580e-07	2	false	DILUPBiCGStab	7.491960e-05	3.448160e-07	1	true	GAMG	1.600450e-03	1.250170e-05	6	true	DILUPBiCGStab	1.663510e-04	1.327820e-06	1	true	DILUPBiCGStab	3.374090e-06	1.064480e-08	1	true	DILUPBiCGStab	1.302290e-03	2.520860e-07	1	true
